Treatments,Time,BT,BV,CD,CH,BU,CS,CA,DP,P1,P2,P3
MonocultureBT_0,33,1.104066669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBT_0,36,1.115100006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBT_0,39,1.122833351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBT_0,42,1.124500016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBT_0,45,1.1280333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBT_0,48,1.135133325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBT_0,51,1.1347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBT_0,54,1.142666677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBT_0,57,1.148733357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBT_0,60,1.154433349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBT_0,63,1.163066645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBT_0,66,1.172066668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBU_0,0,0.0,0.0,0.0,0.0,0.008166665,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBU_0,3,0.0,0.0,0.0,0.0,0.039466669,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBU_0,6,0.0,0.0,0.0,0.0,0.203399995,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBU_0,9,0.0,0.0,0.0,0.0,0.607733329,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBU_0,12,0.0,0.0,0.0,0.0,0.912499964,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBU_0,15,0.0,0.0,0.0,0.0,0.904266695,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBU_0,18,0.0,0.0,0.0,0.0,0.83826667,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBU_0,21,0.0,0.0,0.0,0.0,0.777666667,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBU_0,24,0.0,0.0,0.0,0.0,0.736600001,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBU_0,27,0.0,0.0,0.0,0.0,0.732866664,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBU_0,30,0.0,0.0,0.0,0.0,0.760433335,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBU_0,33,0.0,0.0,0.0,0.0,0.778399983,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBU_0,36,0.0,0.0,0.0,0.0,0.797699987,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBU_0,39,0.0,0.0,0.0,0.0,0.805033326,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBU_0,42,0.0,0.0,0.0,0.0,0.801199992,0.0,0.0,0.0,1.0,0.0,0.0
MonocultureBU_0,45,0.0,0.0,0.0,0.0,0.797833343,0.0,0.0,0.0,1.0,0.0,0.0
