,Time,Replicate,media,OD,Strain
324,36,1,CM,0.437066654,Strain 289
325,36,2,CM,0.445866683,Strain 289
326,36,3,CM,0.441166678,Strain 289
327,36,1,CM,0.438566664,Strain 290
328,36,2,CM,0.442366639,Strain 290
329,36,3,CM,0.492766658,Strain 290
330,36,1,CM,0.390866676,Strain 291
331,36,2,CM,0.411766687,Strain 291
332,36,3,CM,0.434066692,Strain 291
333,36,1,CM,0.46296666,Strain 292
334,36,2,CM,0.453966657,Strain 292
335,36,3,CM,0.413466671,Strain 292
336,36,1,CM,0.464366654,Strain 293
337,36,2,CM,0.47936664,Strain 293
338,36,3,CM,0.48996667,Strain 293
339,36,1,CM,0.491466681,Strain 294
340,36,2,CM,0.453066686,Strain 294
341,36,3,CM,0.545166651,Strain 294
342,36,1,CM,0.377166668,Strain 295
343,36,2,CM,0.482466677,Strain 295
344,36,3,CM,0.453066686,Strain 295
345,36,1,CM,0.531066695,Strain 296
346,36,2,CM,0.53366665,Strain 296
347,36,3,CM,0.483166674,Strain 296
348,36,1,CM,0.386966685,Strain 298
349,36,2,CM,0.279866675,Strain 298
350,36,3,CM,0.450666646,Strain 298
351,39,1,CM,0.433166662,Strain 289
352,39,2,CM,0.441566685,Strain 289
353,39,3,CM,0.437466661,Strain 289
354,39,1,CM,0.431366662,Strain 290
355,39,2,CM,0.431466678,Strain 290
356,39,3,CM,0.484966675,Strain 290
357,39,1,CM,0.384466687,Strain 291
358,39,2,CM,0.401466647,Strain 291
359,39,3,CM,0.382466653,Strain 291
360,39,1,CM,0.460466662,Strain 292
361,39,2,CM,0.451566676,Strain 292
362,39,3,CM,0.409966687,Strain 292
363,39,1,CM,0.482966641,Strain 293
364,39,2,CM,0.497666636,Strain 293
365,39,3,CM,0.506066659,Strain 293
366,39,1,CM,0.488366643,Strain 294
367,39,2,CM,0.453766683,Strain 294
368,39,3,CM,0.549666682,Strain 294
369,39,1,CM,0.208166668,Strain 295
370,39,2,CM,0.321466664,Strain 295
371,39,3,CM,0.452866653,Strain 295
372,39,1,CM,0.527266661,Strain 296
373,39,2,CM,0.536266664,Strain 296
374,39,3,CM,0.489166657,Strain 296
375,39,1,CM,0.382966677,Strain 298
376,39,2,CM,0.282466659,Strain 298
377,39,3,CM,0.440666655,Strain 298
378,42,1,CM,0.42866669,Strain 289
379,42,2,CM,0.437766651,Strain 289
380,42,3,CM,0.433266679,Strain 289
381,42,1,CM,0.423366645,Strain 290
382,42,2,CM,0.423966685,Strain 290
383,42,3,CM,0.477966646,Strain 290
384,42,1,CM,0.373966673,Strain 291
385,42,2,CM,0.324966678,Strain 291
386,42,3,CM,0.306866655,Strain 291
387,42,1,CM,0.453466693,Strain 292
388,42,2,CM,0.44566665,Strain 292
389,42,3,CM,0.403766671,Strain 292
390,42,1,CM,0.490966657,Strain 293
391,42,2,CM,0.511966685,Strain 293
392,42,3,CM,0.529266695,Strain 293
393,42,1,CM,0.499166647,Strain 294
394,42,2,CM,0.454866687,Strain 294
395,42,3,CM,0.55126665,Strain 294
396,42,1,CM,0.19566668,Strain 295
397,42,2,CM,0.288166652,Strain 295
398,42,3,CM,0.449466685,Strain 295
399,42,1,CM,0.516266683,Strain 296
400,42,2,CM,0.537966648,Strain 296
401,42,3,CM,0.489266673,Strain 296
402,42,1,CM,0.382966677,Strain 298
403,42,2,CM,0.288966665,Strain 298
404,42,3,CM,0.431366662,Strain 298
405,45,1,CM,0.421866694,Strain 289
406,45,2,CM,0.431466678,Strain 289
407,45,3,CM,0.427266637,Strain 289
408,45,1,CM,0.405966679,Strain 290
409,45,2,CM,0.414766649,Strain 290
410,45,3,CM,0.463066677,Strain 290
411,45,1,CM,0.350566665,Strain 291
412,45,2,CM,0.292366663,Strain 291
413,45,3,CM,0.292066673,Strain 291
414,45,1,CM,0.443966666,Strain 292
415,45,2,CM,0.436766664,Strain 292
416,45,3,CM,0.394666651,Strain 292
417,45,1,CM,0.505066672,Strain 293
418,45,2,CM,0.529266695,Strain 293
419,45,3,CM,0.526266674,Strain 293
420,45,1,CM,0.530466655,Strain 294
421,45,2,CM,0.468666652,Strain 294
422,45,3,CM,0.56216667,Strain 294
423,45,1,CM,0.190466652,Strain 295
424,45,2,CM,0.252266655,Strain 295
425,45,3,CM,0.448866645,Strain 295
426,45,1,CM,0.517366687,Strain 296
427,45,2,CM,0.539466659,Strain 296
428,45,3,CM,0.499866644,Strain 296
429,45,1,CM,0.372266689,Strain 298
430,45,2,CM,0.292966673,Strain 298
431,45,3,CM,0.407266656,Strain 298
432,48,1,CM,0.414166668,Strain 289
433,48,2,CM,0.424866656,Strain 289
434,48,3,CM,0.420766691,Strain 289
435,48,1,CM,0.360266665,Strain 290
436,48,2,CM,0.397666672,Strain 290
437,48,3,CM,0.421366671,Strain 290
438,48,1,CM,0.217366675,Strain 291
439,48,2,CM,0.252966652,Strain 291
440,48,3,CM,0.247566679,Strain 291
441,48,1,CM,0.431366662,Strain 292
442,48,2,CM,0.424866656,Strain 292
443,48,3,CM,0.38376669,Strain 292
444,48,1,CM,0.527066687,Strain 293
445,48,2,CM,0.545066694,Strain 293
446,48,3,CM,0.556566695,Strain 293
447,48,1,CM,0.560866693,Strain 294
448,48,2,CM,0.492966691,Strain 294
449,48,3,CM,0.589366654,Strain 294
450,48,1,CM,0.193466673,Strain 295
451,48,2,CM,0.232266674,Strain 295
452,48,3,CM,0.387866655,Strain 295
453,48,1,CM,0.517066637,Strain 296
454,48,2,CM,0.54276667,Strain 296
455,48,3,CM,0.514366666,Strain 296
456,48,1,CM,0.355466673,Strain 298
457,48,2,CM,0.326966653,Strain 298
458,48,3,CM,0.361366669,Strain 298
459,51,1,CM,0.402866641,Strain 289
460,51,2,CM,0.414966682,Strain 289
461,51,3,CM,0.412166694,Strain 289
462,51,1,CM,0.306166658,Strain 290
463,51,2,CM,0.356066654,Strain 290
464,51,3,CM,0.362766663,Strain 290
465,51,1,CM,0.176766673,Strain 291
466,51,2,CM,0.20536668,Strain 291
467,51,3,CM,0.206266681,Strain 291
468,51,1,CM,0.414666692,Strain 292
469,51,2,CM,0.40866665,Strain 292
470,51,3,CM,0.369666675,Strain 292
471,51,1,CM,0.523366669,Strain 293
472,51,2,CM,0.545966664,Strain 293
473,51,3,CM,0.55946664,Strain 293
474,51,1,CM,0.588666657,Strain 294
475,51,2,CM,0.52486668,Strain 294
476,51,3,CM,0.624266664,Strain 294
477,51,1,CM,0.189566651,Strain 295
478,51,2,CM,0.189466665,Strain 295
479,51,3,CM,0.333466658,Strain 295
480,51,1,CM,0.509966651,Strain 296
481,51,2,CM,0.546866694,Strain 296
482,51,3,CM,0.519666651,Strain 296
483,51,1,CM,0.345366666,Strain 298
484,51,2,CM,0.38346664,Strain 298
485,51,3,CM,0.388366679,Strain 298
486,54,1,CM,0.390366653,Strain 289
487,54,2,CM,0.403566638,Strain 289
488,54,3,CM,0.400266686,Strain 289
489,54,1,CM,0.268966654,Strain 290
490,54,2,CM,0.309666673,Strain 290
491,54,3,CM,0.322366664,Strain 290
492,54,1,CM,0.149766663,Strain 291
493,54,2,CM,0.15166668,Strain 291
494,54,3,CM,0.171666661,Strain 291
495,54,1,CM,0.395566681,Strain 292
496,54,2,CM,0.39046667,Strain 292
497,54,3,CM,0.355666677,Strain 292
498,54,1,CM,0.529366652,Strain 293
499,54,2,CM,0.542566637,Strain 293
500,54,3,CM,0.557966689,Strain 293
501,54,1,CM,0.609166661,Strain 294
502,54,2,CM,0.550866643,Strain 294
503,54,3,CM,0.645366648,Strain 294
504,54,1,CM,0.187966654,Strain 295
505,54,2,CM,0.183366666,Strain 295
506,54,3,CM,0.280666659,Strain 295
507,54,1,CM,0.518566648,Strain 296
508,54,2,CM,0.56216667,Strain 296
509,54,3,CM,0.548566679,Strain 296
510,54,1,CM,0.328066656,Strain 298
511,54,2,CM,0.379466692,Strain 298
512,54,3,CM,0.351866672,Strain 298
513,57,1,CM,0.379966656,Strain 289
514,57,2,CM,0.394266644,Strain 289
515,57,3,CM,0.391466657,Strain 289
516,57,1,CM,0.253366658,Strain 290
517,57,2,CM,0.285266677,Strain 290
518,57,3,CM,0.298966656,Strain 290
519,57,1,CM,0.136866668,Strain 291
520,57,2,CM,0.135566661,Strain 291
521,57,3,CM,0.164966652,Strain 291
522,57,1,CM,0.380666653,Strain 292
523,57,2,CM,0.376866678,Strain 292
524,57,3,CM,0.344266662,Strain 292
525,57,1,CM,0.515666643,Strain 293
526,57,2,CM,0.525666693,Strain 293
527,57,3,CM,0.53426669,Strain 293
528,57,1,CM,0.627966681,Strain 294
529,57,2,CM,0.580166677,Strain 294
530,57,3,CM,0.661466638,Strain 294
531,57,1,CM,0.212766657,Strain 295
532,57,2,CM,0.17716668,Strain 295
533,57,3,CM,0.291966656,Strain 295
534,57,1,CM,0.535766641,Strain 296
535,57,2,CM,0.577766636,Strain 296
536,57,3,CM,0.571666637,Strain 296
537,57,1,CM,0.311466673,Strain 298
538,57,2,CM,0.372066656,Strain 298
539,57,3,CM,0.338766674,Strain 298
540,60,1,CM,0.370566675,Strain 289
541,60,2,CM,0.384766677,Strain 289
542,60,3,CM,0.383866647,Strain 289
543,60,1,CM,0.236666659,Strain 290
544,60,2,CM,0.264466653,Strain 290
545,60,3,CM,0.280966679,Strain 290
546,60,1,CM,0.125166664,Strain 291
547,60,2,CM,0.113066668,Strain 291
548,60,3,CM,0.144766668,Strain 291
549,60,1,CM,0.362066666,Strain 292
550,60,2,CM,0.360866675,Strain 292
551,60,3,CM,0.333366672,Strain 292
552,60,1,CM,0.474266687,Strain 293
553,60,2,CM,0.494066695,Strain 293
554,60,3,CM,0.513366679,Strain 293
555,60,1,CM,0.650666693,Strain 294
556,60,2,CM,0.605066637,Strain 294
557,60,3,CM,0.691766659,Strain 294
558,60,1,CM,0.238966653,Strain 295
559,60,2,CM,0.162766675,Strain 295
560,60,3,CM,0.269066671,Strain 295
561,60,1,CM,0.54246668,Strain 296
562,60,2,CM,0.59766666,Strain 296
563,60,3,CM,0.582366684,Strain 296
564,60,1,CM,0.303666661,Strain 298
565,60,2,CM,0.360766659,Strain 298
566,60,3,CM,0.347466657,Strain 298
567,63,1,CM,0.360066662,Strain 289
568,63,2,CM,0.374866644,Strain 289
569,63,3,CM,0.374166647,Strain 289
570,63,1,CM,0.224966655,Strain 290
571,63,2,CM,0.247066656,Strain 290
572,63,3,CM,0.268766681,Strain 290
573,63,1,CM,0.112666661,Strain 291
574,63,2,CM,0.096666673,Strain 291
575,63,3,CM,0.134566674,Strain 291
576,63,1,CM,0.345066676,Strain 292
577,63,2,CM,0.345766673,Strain 292
578,63,3,CM,0.323166678,Strain 292
579,63,1,CM,0.438066641,Strain 293
580,63,2,CM,0.464766661,Strain 293
581,63,3,CM,0.492966691,Strain 293
582,63,1,CM,0.657566646,Strain 294
583,63,2,CM,0.633366683,Strain 294
584,63,3,CM,0.680366674,Strain 294
585,63,1,CM,0.17656667,Strain 295
586,63,2,CM,0.152166674,Strain 295
587,63,3,CM,0.239566663,Strain 295
588,63,1,CM,0.565066675,Strain 296
589,63,2,CM,0.604466656,Strain 296
590,63,3,CM,0.58886669,Strain 296
591,63,1,CM,0.308366666,Strain 298
592,63,2,CM,0.355766663,Strain 298
593,63,3,CM,0.354866663,Strain 298
594,66,1,CM,0.351666668,Strain 289
595,66,2,CM,0.366566667,Strain 289
596,66,3,CM,0.366066674,Strain 289
597,66,1,CM,0.216766665,Strain 290
598,66,2,CM,0.234866658,Strain 290
599,66,3,CM,0.260166654,Strain 290
600,66,1,CM,0.109466666,Strain 291
601,66,2,CM,0.088666672,Strain 291
602,66,3,CM,0.12406666,Strain 291
603,66,1,CM,0.332366655,Strain 292
604,66,2,CM,0.332766661,Strain 292
605,66,3,CM,0.313566664,Strain 292
606,66,1,CM,0.428966681,Strain 293
607,66,2,CM,0.445466677,Strain 293
