,Time,Replicate,media,OD
322,51,3,DM29 + Mannitol,0.077700004
323,51,3,DM29 + Trehalose,0.460200004
324,54,1,DM29 + GalNAc,0.0889
325,54,1,DM29 + Fucose,0.076799989
326,54,1,DM29 + Succinate,0.141899988
327,54,1,DM29 + Sorbitol,0.359799996
328,54,1,DM29 + Mannitol,0.229899988
329,54,1,DM29 + Trehalose,0.428300016
330,54,2,DM29 + GalNAc,0.088300005
331,54,2,DM29 + Fucose,0.078399986
332,54,2,DM29 + Succinate,0.10239999
333,54,2,DM29 + Sorbitol,0.383599982
334,54,2,DM29 + Mannitol,0.081499994
335,54,2,DM29 + Trehalose,0.444299988
336,54,3,DM29 + GalNAc,0.136800006
337,54,3,DM29 + Fucose,0.131099984
338,54,3,DM29 + Succinate,0.115699992
339,54,3,DM29 + Sorbitol,0.355600014
340,54,3,DM29 + Mannitol,0.147099987
341,54,3,DM29 + Trehalose,0.442799978
342,57,1,DM29 + GalNAc,0.075800002
343,57,1,DM29 + Fucose,0.062099993
344,57,1,DM29 + Succinate,0.118799999
345,57,1,DM29 + Sorbitol,0.350999996
346,57,1,DM29 + Mannitol,0.184799984
347,57,1,DM29 + Trehalose,0.420100026
348,57,2,DM29 + GalNAc,0.064699993
349,57,2,DM29 + Fucose,0.057899997
350,57,2,DM29 + Succinate,0.100499988
351,57,2,DM29 + Sorbitol,0.367800012
352,57,2,DM29 + Mannitol,0.149200007
353,57,2,DM29 + Trehalose,0.453299992
354,57,3,DM29 + GalNAc,0.110400006
355,57,3,DM29 + Fucose,0.08829999
356,57,3,DM29 + Succinate,0.108299986
357,57,3,DM29 + Sorbitol,0.35239999
358,57,3,DM29 + Mannitol,0.099899992
359,57,3,DM29 + Trehalose,0.447099976
360,60,1,DM29 + GalNAc,0.063799992
361,60,1,DM29 + Fucose,0.054299995
362,60,1,DM29 + Succinate,0.133200005
363,60,1,DM29 + Sorbitol,0.367499992
364,60,1,DM29 + Mannitol,0.20099999
365,60,1,DM29 + Trehalose,0.174100004
366,60,2,DM29 + GalNAc,0.067399994
367,60,2,DM29 + Fucose,0.061999992
368,60,2,DM29 + Succinate,0.110599995
369,60,2,DM29 + Sorbitol,0.360800013
370,60,2,DM29 + Mannitol,0.076999992
371,60,2,DM29 + Trehalose,0.380999975
372,60,3,DM29 + GalNAc,0.086099997
373,60,3,DM29 + Fucose,0.068699986
374,60,3,DM29 + Succinate,0.103699997
375,60,3,DM29 + Sorbitol,0.356100008
376,60,3,DM29 + Mannitol,0.054499999
377,60,3,DM29 + Trehalose,0.385600023
378,63,1,DM29 + GalNAc,0.063199997
379,63,1,DM29 + Fucose,0.049099997
380,63,1,DM29 + Succinate,0.116299987
381,63,1,DM29 + Sorbitol,0.373400018
382,63,1,DM29 + Mannitol,0.313799992
383,63,1,DM29 + Trehalose,0.122200005
384,63,2,DM29 + GalNAc,0.078400001
385,63,2,DM29 + Fucose,0.057599992
386,63,2,DM29 + Succinate,0.107199997
387,63,2,DM29 + Sorbitol,0.351899996
388,63,2,DM29 + Mannitol,0.141399994
389,63,2,DM29 + Trehalose,0.187400006
390,63,3,DM29 + GalNAc,0.061700001
391,63,3,DM29 + Fucose,0.069699988
392,63,3,DM29 + Succinate,0.096899986
393,63,3,DM29 + Sorbitol,0.341900006
394,63,3,DM29 + Mannitol,0.104000002
395,63,3,DM29 + Trehalose,0.246399991
396,66,1,DM29 + GalNAc,0.065599993
397,66,1,DM29 + Fucose,0.0528
398,66,1,DM29 + Succinate,0.124299988
399,66,1,DM29 + Sorbitol,0.385799989
400,66,1,DM29 + Mannitol,0.351600006
401,66,1,DM29 + Trehalose,0.093200006
402,66,2,DM29 + GalNAc,0.075200006
403,66,2,DM29 + Fucose,0.059599996
404,66,2,DM29 + Succinate,0.105799988
405,66,2,DM29 + Sorbitol,0.339200005
406,66,2,DM29 + Mannitol,0.169199988
407,66,2,DM29 + Trehalose,0.146100007
408,66,3,DM29 + GalNAc,0.067699999
409,66,3,DM29 + Fucose,0.063699991
410,66,3,DM29 + Succinate,0.100899994
411,66,3,DM29 + Sorbitol,0.333199993
412,66,3,DM29 + Mannitol,0.206599995
413,66,3,DM29 + Trehalose,0.209000014
