,Time,Replicate,media,OD,Strain
190,30,2,DM29 + Mannitol,0.418600015,MS001
191,30,2,DM29 + Trehalose,0.296199992,MS001
192,30,3,DM29 + GalNAc,0.221700005,MS001
193,30,3,DM29 + Fucose,0.235500008,MS001
194,30,3,DM29 + Succinate,0.216699995,MS001
195,30,3,DM29 + Sorbitol,0.2513,MS001
196,30,3,DM29 + Mannitol,0.384699993,MS001
197,30,3,DM29 + Trehalose,0.301700011,MS001
198,33,1,DM29 + GalNAc,0.211899988,MS001
199,33,1,DM29 + Fucose,0.243600011,MS001
200,33,1,DM29 + Succinate,0.125299998,MS001
201,33,1,DM29 + Sorbitol,0.228200011,MS001
202,33,1,DM29 + Mannitol,0.405099981,MS001
203,33,1,DM29 + Trehalose,0.334700003,MS001
204,33,2,DM29 + GalNAc,0.191700004,MS001
205,33,2,DM29 + Fucose,0.262400001,MS001
206,33,2,DM29 + Succinate,0.137699999,MS001
207,33,2,DM29 + Sorbitol,0.249700002,MS001
208,33,2,DM29 + Mannitol,0.400600009,MS001
209,33,2,DM29 + Trehalose,0.313700006,MS001
210,33,3,DM29 + GalNAc,0.210200004,MS001
211,33,3,DM29 + Fucose,0.243000001,MS001
212,33,3,DM29 + Succinate,0.128899999,MS001
213,33,3,DM29 + Sorbitol,0.246799998,MS001
214,33,3,DM29 + Mannitol,0.368600003,MS001
215,33,3,DM29 + Trehalose,0.304299995,MS001
216,36,1,DM29 + GalNAc,0.207799994,MS001
217,36,1,DM29 + Fucose,0.239499986,MS001
218,36,1,DM29 + Succinate,0.063100003,MS001
219,36,1,DM29 + Sorbitol,0.228700005,MS001
220,36,1,DM29 + Mannitol,0.343899988,MS001
221,36,1,DM29 + Trehalose,0.315000013,MS001
222,36,2,DM29 + GalNAc,0.192899995,MS001
223,36,2,DM29 + Fucose,0.262100011,MS001
224,36,2,DM29 + Succinate,0.063100003,MS001
225,36,2,DM29 + Sorbitol,0.250299983,MS001
226,36,2,DM29 + Mannitol,0.335299991,MS001
227,36,2,DM29 + Trehalose,0.363999978,MS001
228,36,3,DM29 + GalNAc,0.182799987,MS001
229,36,3,DM29 + Fucose,0.251300007,MS001
230,36,3,DM29 + Succinate,0.093399994,MS001
231,36,3,DM29 + Sorbitol,0.247299992,MS001
232,36,3,DM29 + Mannitol,0.311099999,MS001
233,36,3,DM29 + Trehalose,0.320500001,MS001
234,39,1,DM29 + GalNAc,0.193000011,MS001
235,39,1,DM29 + Fucose,0.227600008,MS001
236,39,1,DM29 + Succinate,0.053599991,MS001
237,39,1,DM29 + Sorbitol,0.231699996,MS001
238,39,1,DM29 + Mannitol,0.071300007,MS001
239,39,1,DM29 + Trehalose,0.297200009,MS001
240,39,2,DM29 + GalNAc,0.173800014,MS001
241,39,2,DM29 + Fucose,0.224700004,MS001
242,39,2,DM29 + Succinate,0.050999992,MS001
243,39,2,DM29 + Sorbitol,0.249999992,MS001
244,39,2,DM29 + Mannitol,0.063400008,MS001
245,39,2,DM29 + Trehalose,0.429600015,MS001
246,39,3,DM29 + GalNAc,0.157200001,MS001
247,39,3,DM29 + Fucose,0.225199997,MS001
248,39,3,DM29 + Succinate,0.058099993,MS001
249,39,3,DM29 + Sorbitol,0.247900002,MS001
250,39,3,DM29 + Mannitol,0.062400006,MS001
251,39,3,DM29 + Trehalose,0.339600012,MS001
252,42,1,DM29 + GalNAc,0.204399996,MS001
253,42,1,DM29 + Fucose,0.246600002,MS001
254,42,1,DM29 + Succinate,0.065800004,MS001
255,42,1,DM29 + Sorbitol,0.230799995,MS001
256,42,1,DM29 + Mannitol,0.061500005,MS001
257,42,1,DM29 + Trehalose,0.343500003,MS001
258,42,2,DM29 + GalNAc,0.186700009,MS001
259,42,2,DM29 + Fucose,0.25029999,MS001
260,42,2,DM29 + Succinate,0.051099993,MS001
261,42,2,DM29 + Sorbitol,0.250199996,MS001
262,42,2,DM29 + Mannitol,0.0515,MS001
263,42,2,DM29 + Trehalose,0.41490002,MS001
264,42,3,DM29 + GalNAc,0.163700007,MS001
265,42,3,DM29 + Fucose,0.229099989,MS001
266,42,3,DM29 + Succinate,0.053799994,MS001
267,42,3,DM29 + Sorbitol,0.246199988,MS001
268,42,3,DM29 + Mannitol,0.048699997,MS001
269,42,3,DM29 + Trehalose,0.34480001,MS001
270,45,1,DM29 + GalNAc,0.186999999,MS001
271,45,1,DM29 + Fucose,0.252999991,MS001
272,45,1,DM29 + Succinate,0.06589999,MS001
273,45,1,DM29 + Sorbitol,0.224400006,MS001
274,45,1,DM29 + Mannitol,0.047400005,MS001
275,45,1,DM29 + Trehalose,0.396600023,MS001
276,45,2,DM29 + GalNAc,0.18029999,MS001
277,45,2,DM29 + Fucose,0.239899993,MS001
278,45,2,DM29 + Succinate,0.049599998,MS001
279,45,2,DM29 + Sorbitol,0.247900002,MS001
280,45,2,DM29 + Mannitol,0.049800001,MS001
281,45,2,DM29 + Trehalose,0.415600017,MS001
282,45,3,DM29 + GalNAc,0.163500003,MS001
283,45,3,DM29 + Fucose,0.236799985,MS001
284,45,3,DM29 + Succinate,0.049399994,MS001
285,45,3,DM29 + Sorbitol,0.244199984,MS001
286,45,3,DM29 + Mannitol,0.054699995,MS001
287,45,3,DM29 + Trehalose,0.449599996,MS001
288,48,1,DM29 + GalNAc,0.211599998,MS001
289,48,1,DM29 + Fucose,0.310600013,MS001
290,48,1,DM29 + Succinate,0.066999994,MS001
291,48,1,DM29 + Sorbitol,0.227699988,MS001
292,48,1,DM29 + Mannitol,0.044600002,MS001
293,48,1,DM29 + Trehalose,0.452699974,MS001
294,48,2,DM29 + GalNAc,0.214000009,MS001
295,48,2,DM29 + Fucose,0.274500012,MS001
296,48,2,DM29 + Succinate,0.043499999,MS001
297,48,2,DM29 + Sorbitol,0.248199992,MS001
298,48,2,DM29 + Mannitol,0.054400004,MS001
299,48,2,DM29 + Trehalose,0.498399988,MS001
300,48,3,DM29 + GalNAc,0.197399996,MS001
301,48,3,DM29 + Fucose,0.282999992,MS001
302,48,3,DM29 + Succinate,0.054099999,MS001
303,48,3,DM29 + Sorbitol,0.2443,MS001
304,48,3,DM29 + Mannitol,0.065200009,MS001
305,48,3,DM29 + Trehalose,0.4604,MS001
306,51,1,DM29 + GalNAc,0.191299997,MS001
307,51,1,DM29 + Fucose,0.231200009,MS001
308,51,1,DM29 + Succinate,0.050099991,MS001
309,51,1,DM29 + Sorbitol,0.228000008,MS001
310,51,1,DM29 + Mannitol,0.0321,MS001
311,51,1,DM29 + Trehalose,0.469999984,MS001
312,51,2,DM29 + GalNAc,0.1906,MS001
313,51,2,DM29 + Fucose,0.229000002,MS001
314,51,2,DM29 + Succinate,0.031799994,MS001
315,51,2,DM29 + Sorbitol,0.25069999,MS001
316,51,2,DM29 + Mannitol,0.024500005,MS001
317,51,2,DM29 + Trehalose,0.465100005,MS001
318,51,3,DM29 + GalNAc,0.18060001,MS001
319,51,3,DM29 + Fucose,0.221399993,MS001
320,51,3,DM29 + Succinate,0.040699996,MS001
321,51,3,DM29 + Sorbitol,0.244099997,MS001
322,51,3,DM29 + Mannitol,0.026900001,MS001
323,51,3,DM29 + Trehalose,0.494799987,MS001
324,54,1,DM29 + GalNAc,0.180099986,MS001
325,54,1,DM29 + Fucose,0.218299985,MS001
326,54,1,DM29 + Succinate,0.037299998,MS001
327,54,1,DM29 + Sorbitol,0.229699992,MS001
328,54,1,DM29 + Mannitol,0.064300008,MS001
329,54,1,DM29 + Trehalose,0.460200027,MS001
330,54,2,DM29 + GalNAc,0.170099996,MS001
331,54,2,DM29 + Fucose,0.216699988,MS001
332,54,2,DM29 + Succinate,0.024300002,MS001
333,54,2,DM29 + Sorbitol,0.245899998,MS001
334,54,2,DM29 + Mannitol,0.020399995,MS001
335,54,2,DM29 + Trehalose,0.411099985,MS001
336,54,3,DM29 + GalNAc,0.162600003,MS001
337,54,3,DM29 + Fucose,0.199099988,MS001
338,54,3,DM29 + Succinate,0.036399998,MS001
339,54,3,DM29 + Sorbitol,0.244900011,MS001
340,54,3,DM29 + Mannitol,0.021200009,MS001
341,54,3,DM29 + Trehalose,0.400599971,MS001
342,57,1,DM29 + GalNAc,0.161299996,MS001
343,57,1,DM29 + Fucose,0.201700002,MS001
344,57,1,DM29 + Succinate,0.035800002,MS001
345,57,1,DM29 + Sorbitol,0.230099998,MS001
346,57,1,DM29 + Mannitol,0.036299996,MS001
347,57,1,DM29 + Trehalose,0.453499988,MS001
348,57,2,DM29 + GalNAc,0.161099993,MS001
349,57,2,DM29 + Fucose,0.217999995,MS001
350,57,2,DM29 + Succinate,0.021899991,MS001
351,57,2,DM29 + Sorbitol,0.239500008,MS001
352,57,2,DM29 + Mannitol,0.031999998,MS001
353,57,2,DM29 + Trehalose,0.443799987,MS001
354,57,3,DM29 + GalNAc,0.168200009,MS001
355,57,3,DM29 + Fucose,0.198300004,MS001
356,57,3,DM29 + Succinate,0.02979999,MS001
357,57,3,DM29 + Sorbitol,0.242700003,MS001
358,57,3,DM29 + Mannitol,0.018300004,MS001
359,57,3,DM29 + Trehalose,0.411700025,MS001
360,60,1,DM29 + GalNAc,0.156000011,MS001
361,60,1,DM29 + Fucose,0.208999991,MS001
362,60,1,DM29 + Succinate,0.036899991,MS001
363,60,1,DM29 + Sorbitol,0.224699996,MS001
364,60,1,DM29 + Mannitol,0.057499997,MS001
365,60,1,DM29 + Trehalose,0.572299972,MS001
366,60,2,DM29 + GalNAc,0.160300009,MS001
367,60,2,DM29 + Fucose,0.213,MS001
368,60,2,DM29 + Succinate,0.023500003,MS001
369,60,2,DM29 + Sorbitol,0.238800012,MS001
370,60,2,DM29 + Mannitol,0.029900007,MS001
371,60,2,DM29 + Trehalose,0.500700012,MS001
372,60,3,DM29 + GalNAc,0.158899985,MS001
373,60,3,DM29 + Fucose,0.189099997,MS001
374,60,3,DM29 + Succinate,0.030199997,MS001
375,60,3,DM29 + Sorbitol,0.239799999,MS001
376,60,3,DM29 + Mannitol,0.018799998,MS001
377,60,3,DM29 + Trehalose,0.518000022,MS001
378,63,1,DM29 + GalNAc,0.132100008,MS001
379,63,1,DM29 + Fucose,0.182700008,MS001
380,63,1,DM29 + Succinate,0.033,MS001
381,63,1,DM29 + Sorbitol,0.21639999,MS001
382,63,1,DM29 + Mannitol,0.039600007,MS001
383,63,1,DM29 + Trehalose,0.560499981,MS001
384,63,2,DM29 + GalNAc,0.130899988,MS001
385,63,2,DM29 + Fucose,0.19600001,MS001
386,63,2,DM29 + Succinate,0.022099994,MS001
387,63,2,DM29 + Sorbitol,0.214099996,MS001
388,63,2,DM29 + Mannitol,0.017300002,MS001
389,63,2,DM29 + Trehalose,0.562399998,MS001
390,63,3,DM29 + GalNAc,0.161000006,MS001
391,63,3,DM29 + Fucose,0.191599995,MS001
392,63,3,DM29 + Succinate,0.028999992,MS001
393,63,3,DM29 + Sorbitol,0.237099998,MS001
394,63,3,DM29 + Mannitol,0.019699998,MS001
395,63,3,DM29 + Trehalose,0.536499992,MS001
396,66,1,DM29 + GalNAc,0.112300001,MS001
397,66,1,DM29 + Fucose,0.175900012,MS001
398,66,1,DM29 + Succinate,0.033200003,MS001
399,66,1,DM29 + Sorbitol,0.209799997,MS001
400,66,1,DM29 + Mannitol,0.075300001,MS001
401,66,1,DM29 + Trehalose,0.624799982,MS001
402,66,2,DM29 + GalNAc,0.092200004,MS001
403,66,2,DM29 + Fucose,0.185400009,MS001
404,66,2,DM29 + Succinate,0.023799993,MS001
405,66,2,DM29 + Sorbitol,0.235099994,MS001
406,66,2,DM29 + Mannitol,0.044199996,MS001
407,66,2,DM29 + Trehalose,0.620499983,MS001
408,66,3,DM29 + GalNAc,0.149599992,MS001
409,66,3,DM29 + Fucose,0.186199993,MS001
410,66,3,DM29 + Succinate,0.030500002,MS001
411,66,3,DM29 + Sorbitol,0.245699994,MS001
412,66,3,DM29 + Mannitol,0.038899995,MS001
413,66,3,DM29 + Trehalose,0.524100021,MS001
414,0,1,DM29 + GalNAc,0.019500002,MS002
415,0,1,DM29 + Fucose,0.004099995,MS002
416,0,1,DM29 + Succinate,0.015599996,MS002
417,0,1,DM29 + Sorbitol,0.012000009,MS002
418,0,1,DM29 + Mannitol,0.009199992,MS002
419,0,1,DM29 + Trehalose,0.010300003,MS002
420,0,2,DM29 + GalNAc,0.012099996,MS002
421,0,2,DM29 + Fucose,0.010299996,MS002
422,0,2,DM29 + Succinate,0.010899991,MS002
423,0,2,DM29 + Sorbitol,0.007200003,MS002
424,0,2,DM29 + Mannitol,0.011199996,MS002
425,0,2,DM29 + Trehalose,0.008600004,MS002
426,0,3,DM29 + GalNAc,0.016299993,MS002
427,0,3,DM29 + Fucose,0.014099985,MS002
428,0,3,DM29 + Succinate,0.010199994,MS002
429,0,3,DM29 + Sorbitol,0.005199999,MS002
430,0,3,DM29 + Mannitol,0.013999999,MS002
